CountryCode,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
SGP,Republic of Singapore,High income: nonOECD,East Asia & Pacific,,,Singapore dollar,2010,"General household, 2005",Fiscal year end: March 31; reporting period for national accounts data: CY. April 2012 database update: National accounts time series were replaced with official government statistics.,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,,2009,2011,1975,SG,SG,Singapore,Singapore
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,IDA,,Solomon Islands dollar,2009,,,2004,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2005/06",,2012/13,,2011,,SB,SB,Solomon Islands,Solomon Islands
SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa,IDA,HIPC,Sierra Leonean leone,2004,"Multiple Indicator Cluster Survey (MICS), 2010","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised for 1990 onward; the new base year is 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2011",,,,2002,2005,SL,SL,Sierra Leone,Sierra Leone
SLV,Republic of El Salvador,Lower middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2007,"Reproductive Health Survey (RHS), 2008",,1990,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",Yes,2008,,2011,2007,SV,SV,El Salvador,El Salvador
SMR,Republic of San Marino,High income: nonOECD,Europe & Central Asia,,,Euro,2010,,,1995,2000,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,,Consolidated central government,General Data Dissemination System (GDDS),,Yes,,,,,SM,SM,San Marino,San Marino
SOM,Somali Democratic Republic,Low income,Sub-Saharan Africa,IDA,HIPC,Somali shilling,1987,"Multiple Indicator Cluster Survey (MICS), 2006",,1985,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1977–90,,,Estimate,,,,,,,,1983,2003,SO,SO,Somalia,Somalia
SRB,Republic of Serbia,Upper middle income,Europe & Central Asia,IBRD,,New Serbian dinar,2011,"Multiple Indicator Cluster Survey (MICS), 2010","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised, and GDP is now calculated using chain linked volumes in 2005 prices.",Original chained constant price data are rescaled.,2002,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",Yes,2012,2009,2011,2009,RS,YF,Serbia,Serbia
SSA,Sub-Saharan Africa (developing only),,,,,,,,Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,ZF,ZF,Sub-Saharan Africa,Sub-Saharan Africa (developing only)
SSD,Republic of South Sudan,Low income,Sub-Saharan Africa,IDA,,South Sudanese Pound,2008,,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).",2009,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,,"Expenditure survey/budget survey (ES/BS), 2009",,,,,,SS,SS,South Sudan,South Sudan
SSF,Sub-Saharan Africa (all income levels),,,,,,,,Sub-Saharan Africa regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,ZG,ZG,Sub-Saharan Africa (all income levels),Sub-Saharan Africa (all income levels)
SST,Small states,,,,,,,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,,,,,,,,,,,,,,,,S1,S1,Small states,Small states
STP,Democratic Republic of São Tomé and Principe,Lower middle income,Sub-Saharan Africa,IDA,HIPC,São Tomé and Principe dobra,2012,"Demographic and Health Survey (DHS), 2008/09",,2001,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Priority survey (PS), 2009/10",,2011/12,,2010,1993,ST,ST,São Tomé and Principe,São Tomé and Principe
SUR,Republic of Suriname,Upper middle income,Latin America & Caribbean,IBRD,,Suriname dollar,2012,"Multiple Indicator Cluster Survey (MICS), 2010",,1990,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 1999",Yes,2008,2004,2011,2000,SR,SR,Suriname,Suriname
SVK,Slovak Republic,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2009",Yes,2001,2009,2011,2007,SK,SK,Slovak Republic,Slovak Republic
SVN,Republic of Slovenia,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011. Population figures compiled from administrative registers.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2004",Yes,2010,2009,2011,2009,SI,SI,Slovenia,Slovenia
SWE,Kingdom of Sweden,High income: OECD,Europe & Central Asia,,,Swedish krona,2011,,Fiscal year end: June 30; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2000",Yes,2010,2009,2011,2007,SE,SE,Sweden,Sweden
SWZ,Kingdom of Swaziland,Lower middle income,Sub-Saharan Africa,IBRD,,Swaziland lilangeni,2007,"Multiple Indicator Cluster Survey (MICS), 2010","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.",2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2009/10",,,,2007,2000,SZ,SZ,Swaziland,Swaziland
SXM,Sint Maarten (Dutch part),High income: nonOECD,Latin America & Caribbean,,,Netherlands Antilles guilder,2011,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,,,,,,,,SX,SX,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
SYC,Republic of Seychelles,Upper middle income,Sub-Saharan Africa,IBRD,,Seychelles rupee,2010,,"Based on official government statistics, national accounts data have been revised for 1976 onward; the new base year is 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2007",Yes,2011,,2008,2005,SC,SC,Seychelles,Seychelles
SYR,Syrian Arab Republic,Lower middle income,Middle East & North Africa,IBRD,,Syrian pound,2004,"Multiple Indicator Cluster Survey (MICS), 2006","Based on data from the Central Bureau of Statistics, national accounts data have been revised for 2003 onward.",2000,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1970–2010,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2004",,1981,2009,2010,2005,SY,SY,Syrian Arab Republic,Syrian Arab Republic
TCA,Turks and Caicos Islands,High income: nonOECD,Latin America & Caribbean,,,U.S. dollar,2012,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,General trade system,,,,Yes,,,2011,,TC,TC,Turks and Caicos Islands,Turks and Caicos Islands
TCD,Republic of Chad,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2009,"Multiple Indicator Cluster Survey (MICS), 2010",,1995,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,,General Data Dissemination System (GDDS),"Priority survey (PS), 2002/03",,2011,,1995,2005,TD,TD,Chad,Chad
TGO,Republic of Togo,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2010,"Multiple Indicator Cluster Survey (MICS), 2010","Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",2000,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2011",,2011/12,,2011,2002,TG,TG,Togo,Togo
THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific,IBRD,,Thai baht,2010,"Multiple Indicator Cluster Survey (MICS), 2012",Fiscal year end: September 30; reporting period for national accounts data: CY.,1988,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",,2013,2006,2011,2007,TH,TH,Thailand,Thailand
TJK,Republic of Tajikistan,Low income,Europe & Central Asia,IDA,,Tajik somoni,2010,"Living Standards Measurement Study Survey (LSMS), 2009",,Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2009",,2013,,2000,2006,TJ,TJ,Tajikistan,Tajikistan
TKM,Turkmenistan,Upper middle income,Europe & Central Asia,IBRD,,New Turkmen manat,2012,"Multiple Indicator Cluster Survey (MICS), 2011","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",Original chained constant price data are rescaled.,2007,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),"1987–95, 1997–2007",,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,,"Living Standards Measurement Study Survey (LSMS), 1998",Yes,,,2000,2004,TM,TM,Turkmenistan,Turkmenistan
TMP,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific,Blend,,U.S. dollar,2010,"Demographic and Health Survey (DHS), 2009/10",,2000,,Country uses the 2008 System of National Accounts methodology.,Value added at producer prices (VAP),,,,,General trade system,,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2007",,2012,,2005,2004,TL,TP,Timor-Leste,Timor-Leste
TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific,IDA,,Tongan pa'anga,2006,,"Based on data from the National Bureau of Statistics, national accounts data have been revised; the new base year is 2010/11.",2010/11,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),,,,,2011,,TO,TO,Tonga,Tonga
TTO,Republic of Trinidad and Tobago,High income: nonOECD,Latin America & Caribbean,IBRD,,Trinidad and Tobago dollar,2011,"Multiple Indicator Cluster Survey (MICS), 2011",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 1992",Yes,,2006,2010,2000,TT,TT,Trinidad and Tobago,Trinidad and Tobago
TUN,Republic of Tunisia,Upper middle income,Middle East & North Africa,IBRD,,Tunisian dinar,2004,"Multiple Indicator Cluster Survey (MICS), 2011","April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.",1990,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",,2004,2006,2011,2001,TN,TN,Tunisia,Tunisia
TUR,Republic of Turkey,Upper middle income,Europe & Central Asia,IBRD,,New Turkish lira,2011,"Demographic and Health Survey (DHS), 2003",,1998,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2009",,,2008,2011,2003,TR,TR,Turkey,Turkey
TUV,Tuvalu,Upper middle income,East Asia & Pacific,IDA,,Australian dollar,2012,,"Based on IMF data, national accounts data for 2000 onward have been revised.",2005,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,,,,General trade system,,,,,,,2008,,TV,TV,Tuvalu,Tuvalu
TZA,United Republic of Tanzania,Low income,Sub-Saharan Africa,IDA,HIPC,Tanzanian shilling,2012,"HIV/AIDS Indicator Survey (AIS), 2011/12; Living Standards Measurement Study Survey (LSMS), 2010/11",,Original chained constant price data are rescaled.,2001,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2011",,2007/08,2007,2011,2002,TZ,TZ,Tanzania,Tanzania
UGA,Republic of Uganda,Low income,Sub-Saharan Africa,IDA,HIPC,Ugandan shilling,2002,"Demographic and Health Survey (DHS), 2011","Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02.",2001/02,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Priority survey (PS), 2009/10",,2008,2000,2011,2002,UG,UG,Uganda,Uganda
UKR,Ukraine,Lower middle income,Europe & Central Asia,IBRD,,Ukrainian hryvnia,2001,"Multiple Indicator Cluster Survey (MICS), 2012",,Original chained constant price data are rescaled.,2003,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,2012/13,2004,2011,2005,UA,UA,Ukraine,Ukraine
UMC,Upper middle income,,,,,,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2011 GNI per capita was between $4,036 and $12,475.",,,,,,,,,,,,,,,,,,XT,XT,Upper middle income,Upper middle income
URY,Oriental Republic of Uruguay,High income: nonOECD,Latin America & Caribbean,IBRD,,Uruguayan peso,2011,"Multiple Indicator Cluster Survey (MICS), 2012","In 2011, the Central Bank revised national accounts data for 2006 onward.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011",Yes,2011,2008,2009,2000,UY,UY,Uruguay,Uruguay
USA,United States of America,High income: OECD,North America,,,U.S. dollar,2010,,Fiscal year end: September 30; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2000",Yes,2007,2008,2011,2005,US,US,United States,United States
UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia,Blend,,Uzbek sum,1989,"Multiple Indicator Cluster Survey (MICS), 2006",,Original chained constant price data are rescaled.,1997,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,,"Expenditure survey/budget survey (ES/BS), 2003",Yes,,,,2005,UZ,UZ,Uzbekistan,Uzbekistan
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,,,2011,1995,VC,VC,St. Vincent and the Grenadines,St. Vincent and the Grenadines
VEN,República Bolivariana de Venezuela,Upper middle income,Latin America & Caribbean,IBRD,,Venezuelan bolivar fuerte,2011,"Multiple Indicator Cluster Survey (MICS), 2000",,1997,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2011",Yes,2007,,2011,2000,VE,VE,"Venezuela, RB",Venezuela
VIR,Virgin Islands of the United States,High income: nonOECD,Latin America & Caribbean,,,U.S. dollar,2010,,,1982,,Country uses the 1968 System of National Accounts methodology.,,,,,,General trade system,,,,Yes,2007,,,,VI,VI,Virgin Islands (U.S.),Virgin Islands
VNM,Socialist Republic of Vietnam,Lower middle income,East Asia & Pacific,Blend,,Vietnamese dong,2009,"Multiple Indicator Cluster Survey (MICS), 2010/11",,1994,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1991,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",Yes,2011,2000,2010,2005,VN,VN,Vietnam,Vietnam
VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific,IDA,,Vanuatu vatu,2009,"Multiple Indicator Cluster Survey (MICS), 2007","In 2011, data were revised from 1998 onward with official government data. GDP in current prices averaged 11 percent higher than previous estimates.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),,,2007,,2011,,VU,VU,Vanuatu,Vanuatu
WBG,West Bank and Gaza,Lower middle income,Middle East & North Africa,,,Israeli new shekel,2007,"Multiple Indicator Cluster Survey (MICS), 2010",,1997,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2009",,1971,2009,2011,2005,PS,GZ,West Bank and Gaza,West Bank and Gaza
WLD,World,,,,,,,,World aggregate.,,,,,,,,,,,,,,,,,,1W,1W,World,World
WSM,Samoa,Lower middle income,East Asia & Pacific,IDA,,Samoan tala,2011,"Demographic and Health Survey (DHS), 2009","Based on IMF data, national accounts data have been revised for 2007 onward. DEC alternative conversion factor has been revised from 2005 onward.",2002,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),,,2009,,2011,,WS,WS,Samoa,Samoa
YEM,Republic of Yemen,Lower middle income,Middle East & North Africa,IDA,,Yemeni rial,2004,"Multiple Indicator Cluster Survey (MICS), 2006","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.",1990,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1990–96,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2005",,,2006,2011,2005,YE,RY,"Yemen, Rep.",Yemen
ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa,IBRD,,South African rand,2011,"Demographic and Health Survey (DHS), 2003",Fiscal year end: March 31; reporting period for national accounts data: CY.,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2012,2009,2011,2000,ZA,ZA,South Africa,South Africa
ZAR,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,IDA,HIPC,Congolese franc,1984,"Multiple Indicator Cluster Survey (MICS), 2010","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",2000,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1999–2001,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"1-2-3 survey (1-2-3), 2004/05",,1990,,1987,2005,CD,ZR,"Congo, Dem. Rep.",Dem. Rep. Congo
ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa,IDA,HIPC,"Zambian kwacha [Note: On January 1, 2013 the new Zambian kwacha was introduced at a rate of 1000 old kwacha = 1 new kwacha. The local currency unit in this database remains the old kwacha. The revision will be introduced in a later version.]",2010,"Demographic and Health Survey (DHS), 2007",,1994,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1990–92,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,,,2011,2002,ZM,ZM,Zambia,Zambia
ZWE,Republic of Zimbabwe,Low income,Sub-Saharan Africa,Blend,,U.S. dollar,2012,"Demographic and Health Survey (DHS), 2010/11","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",2009,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),"1991, 1998",2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2003/04",,,,2011,2002,ZW,ZW,Zimbabwe,Zimbabwe
